"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Responsible for grandchildren","2,723,744","±13,858","39.8%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","600,275","±6,274","8.8%","±0.1"
"            1 or 2 years","649,621","±6,245","9.5%","±0.1"
"            3 or 4 years","449,204","±5,439","6.6%","±0.1"
"            5 or more years","1,024,644","±8,839","15.0%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,723,744","±13,858","2,723,744","(X)"
"    Who are female","1,707,078","±9,179","62.7%","±0.1"
"    Who are married","1,923,900","±12,488","70.6%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,291,141","±95,754","82,291,141","(X)"
"    Nursery school, preschool","5,021,959","±31,095","6.1%","±0.1"
"    Kindergarten","4,181,673","±14,511","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,724,227","±23,764","39.8%","±0.1"
"    High school (grades 9-12)","17,279,629","±20,031","21.0%","±0.1"
"    College or graduate school","23,083,653","±70,088","28.1%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","204,336,017","±15,340","204,336,017","(X)"
"    Less than 9th grade","12,358,853","±61,323","6.0%","±0.1"
"    9th to 12th grade, no diploma","16,820,966","±68,390","8.2%","±0.1"
"    High school graduate (includes equivalency)","57,706,852","±158,081","28.2%","±0.1"
"    Some college, no degree","43,508,315","±42,142","21.3%","±0.1"
"    Associate's degree","15,736,009","±37,747","7.7%","±0.1"
"    Bachelor's degree","36,529,875","±132,111","17.9%","±0.1"
"    Graduate or professional degree","21,675,147","±127,862","10.6%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","85.7%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","28.5%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","234,029,580","±8,207","234,029,580","(X)"
"    Civilian veterans","21,853,912","±27,512","9.3%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","303,984,241","±10,092","303,984,241","(X)"
"    With a disability","36,551,038","±73,000","12.0%","±0.1"
"    Under 18 years","73,835,298","±6,591","73,835,298","(X)"
"    With a disability","2,952,899","±13,703","4.0%","±0.1"
"    18 to 64 years","190,790,030","±9,626","190,790,030","(X)"
"    With a disability","19,128,854","±58,927","10.0%","±0.1"
"    65 years and over","39,358,913","±5,341","39,358,913","(X)"
"    With a disability","14,469,285","±21,455","36.8%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","305,340,618","±15,176","305,340,618","(X)"
"    Same house","258,887,555","±288,909","84.8%","±0.1"
"    Different house in the U.S.","44,633,635","±280,192","14.6%","±0.1"
"        Same county","27,998,595","±209,077","9.2%","±0.1"
"        Different county","16,635,040","±83,396","5.4%","±0.1"
"            Same state","9,661,677","±57,608","3.2%","±0.1"
"            Different state","6,973,363","±37,548","2.3%","±0.1"
"    Abroad","1,819,428","±16,896","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","309,138,711","*****","309,138,711","(X)"
"    Native","269,354,406","±104,868","87.1%","±0.1"
"        Born in United States","265,096,271","±103,382","85.8%","±0.1"
"            State of residence","181,504,577","±78,089","58.7%","±0.1"
"            Different state","83,591,694","±78,009","27.0%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,258,135","±16,981","1.4%","±0.1"
"    Foreign born","39,784,305","±104,903","12.9%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","39,784,305","±104,903","39,784,305","(X)"
"    Naturalized U.S. citizen","17,639,207","±36,472","44.3%","±0.2"
"    Not a U.S. citizen","22,145,098","±120,180","55.7%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","44,042,440","±103,417","44,042,440","(X)"
"    Native","4,258,135","±16,981","4,258,135","(X)"
"    Entered 2010 or later","105,690","±3,485","2.5%","±0.1"
"    Entered before 2010","4,152,445","±16,284","97.5%","±0.1"
"    Foreign born","39,784,305","±104,903","39,784,305","(X)"
"    Entered 2010 or later","1,086,664","±12,388","2.7%","±0.1"
"    Entered before 2010","38,697,641","±101,599","97.3%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","39,784,145","±104,900","39,784,145","(X)"
"    Europe","4,830,862","±19,127","12.1%","±0.1"
"    Asia","11,341,138","±34,621","28.5%","±0.1"
"    Africa","1,581,968","±14,433","4.0%","±0.1"
"    Oceania","225,497","±4,398","0.6%","±0.1"
"    Latin America","20,987,884","±65,342","52.8%","±0.1"
"    Northern America","816,796","±7,300","2.1%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","289,000,827","±3,697","289,000,827","(X)"
"    English only","229,616,064","±109,315","79.5%","±0.1"
"    Language other than English","59,384,763","±108,208","20.5%","±0.1"
"        Speak English less than ""very well""","25,081,122","±69,800","8.7%","±0.1"
"        Spanish","36,836,280","±61,755","12.7%","±0.1"
"            Speak English less than ""very well""","16,386,716","±41,430","5.7%","±0.1"
"        Other Indo-European languages","10,686,130","±38,096","3.7%","±0.1"
"            Speak English less than ""very well""","3,426,941","±24,367","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,348,644","±27,104","3.2%","±0.1"
"            Speak English less than ""very well""","4,492,696","±17,822","1.6%","±0.1"
"        Other languages","2,513,709","±18,740","0.9%","±0.1"
"            Speak English less than ""very well""","774,769","±9,674","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","309,138,711","*****","309,138,711","(X)"
"    American","20,775,461","±45,958","6.7%","±0.1"
"    Arab","1,646,808","±18,400","0.5%","±0.1"
"    Czech","1,543,224","±10,124","0.5%","±0.1"
"    Danish","1,392,161","±12,510","0.5%","±0.1"
"    Dutch","4,665,736","±18,344","1.5%","±0.1"
"    English","26,360,639","±64,183","8.5%","±0.1"
"    French (except Basque)","8,902,996","±29,988","2.9%","±0.1"
"    French Canadian","2,052,405","±15,618","0.7%","±0.1"
"    German","48,478,298","±56,777","15.7%","±0.1"
"    Greek","1,308,335","±12,258","0.4%","±0.1"
"    Hungarian","1,485,671","±10,241","0.5%","±0.1"
"    Irish","35,107,290","±60,072","11.4%","±0.1"
"    Italian","17,496,924","±38,407","5.7%","±0.1"
"    Lithuanian","684,939","±7,159","0.2%","±0.1"
"    Norwegian","4,514,318","±23,990","1.5%","±0.1"
"    Polish","9,670,197","±34,497","3.1%","±0.1"
"    Portuguese","1,409,262","±10,300","0.5%","±0.1"
"    Russian","3,013,959","±15,994","1.0%","±0.1"
"    Scotch-Irish","3,317,115","±15,546","1.1%","±0.1"
"    Scottish","5,580,121","±20,631","1.8%","±0.1"
"    Slovak","769,697","±7,564","0.2%","±0.1"
"    Subsaharan African","2,886,972","±27,517","0.9%","±0.1"
"    Swedish","4,155,453","±20,126","1.3%","±0.1"
"    Swiss","967,123","±9,224","0.3%","±0.1"
"    Ukrainian","960,902","±9,336","0.3%","±0.1"
"    Welsh","1,861,429","±11,634","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,646,303","±18,730","0.9%","±0.1"
