"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Total population","318,558,162","*****","318,558,162","(X)"
"        Native","276,363,808","±109,174","86.8%","±0.1"
"            Born in United States","271,639,606","±103,914","85.3%","±0.1"
"                State of residence","186,708,691","±77,829","58.6%","±0.1"
"                Different state","84,930,915","±100,073","26.7%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,724,202","±19,116","1.5%","±0.1"
"        Foreign born","42,194,354","±109,226","13.2%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","42,194,354","±109,226","42,194,354","(X)"
"        Naturalized U.S. citizen","19,979,407","±36,359","47.4%","±0.2"
"        Not a U.S. citizen","22,214,947","±118,995","52.6%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","46,918,556","±103,966","46,918,556","(X)"
"    Native","4,724,202","±19,116","4,724,202","(X)"
"        Entered 2010 or later","576,137","±7,220","12.2%","±0.1"
"        Entered before 2010","4,148,065","±16,452","87.8%","±0.1"
"    Foreign born","42,194,354","±109,226","42,194,354","(X)"
"        Entered 2010 or later","5,335,842","±33,411","12.6%","±0.1"
"        Entered before 2010","36,858,512","±84,553","87.4%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","42,193,781","±109,231","42,193,781","(X)"
"        Europe","4,781,379","±18,324","11.3%","±0.1"
"        Asia","12,688,938","±34,621","30.1%","±0.1"
"        Africa","1,924,254","±15,615","4.6%","±0.1"
"        Oceania","246,208","±4,884","0.6%","±0.1"
"        Latin America","21,728,921","±71,069","51.5%","±0.1"
"        Northern America","824,081","±7,934","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","298,691,202","±3,594","298,691,202","(X)"
"        English only","235,519,143","±154,409","78.9%","±0.1"
"        Language other than English","63,172,059","±152,504","21.1%","±0.1"
"            Speak English less than ""very well""","25,440,956","±80,242","8.5%","±0.1"
"        Spanish","39,145,066","±94,571","13.1%","±0.1"
"            Speak English less than ""very well""","16,268,850","±52,357","5.4%","±0.1"
"        Other Indo-European languages","10,827,536","±46,335","3.6%","±0.1"
"            Speak English less than ""very well""","3,423,686","±23,946","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,172,370","±22,561","3.4%","±0.1"
"            Speak English less than ""very well""","4,815,252","±17,663","1.6%","±0.1"
"        Other languages","3,027,087","±23,302","1.0%","±0.1"
"            Speak English less than ""very well""","933,168","±11,123","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","318,558,162","*****","318,558,162","(X)"
"        American","21,961,129","±59,333","6.9%","±0.1"
"        Arab","1,883,456","±23,581","0.6%","±0.1"
"        Czech","1,435,359","±8,933","0.5%","±0.1"
"        Danish","1,297,738","±11,493","0.4%","±0.1"
"        Dutch","4,210,787","±18,159","1.3%","±0.1"
"        English","24,426,623","±61,981","7.7%","±0.1"
"        French (except Basque)","8,151,499","±25,958","2.6%","±0.1"
"        French Canadian","2,084,903","±16,683","0.7%","±0.1"
"        German","45,879,360","±63,843","14.4%","±0.1"
"        Greek","1,282,655","±10,617","0.4%","±0.1"
"        Hungarian","1,423,144","±11,154","0.4%","±0.1"
"        Irish","33,093,550","±63,173","10.4%","±0.1"
"        Italian","17,174,741","±43,172","5.4%","±0.1"
"        Lithuanian","648,514","±6,851","0.2%","±0.1"
"        Norwegian","4,454,964","±21,861","1.4%","±0.1"
"        Polish","9,344,126","±31,376","2.9%","±0.1"
"        Portuguese","1,367,476","±12,740","0.4%","±0.1"
"        Russian","2,795,443","±13,370","0.9%","±0.1"
"        Scotch-Irish","3,056,848","±16,473","1.0%","±0.1"
"        Scottish","5,457,798","±21,555","1.7%","±0.1"
"        Slovak","714,557","±6,055","0.2%","±0.1"
"        Subsaharan African","3,232,142","±30,196","1.0%","±0.1"
"        Swedish","3,908,762","±14,349","1.2%","±0.1"
"        Swiss","937,376","±8,106","0.3%","±0.1"
"        Ukrainian","986,597","±10,491","0.3%","±0.1"
"        Welsh","1,805,577","±12,352","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,881,007","±20,368","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","(X)","(X)","(X)","(X)"
"        With a computer","(X)","(X)","(X)","(X)"
"        With a broadband Internet subscription","(X)","(X)","(X)","(X)"
