"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Number of grandparents responsible for own grandchildren under 18 years","2,715,879","±13,742","2,715,879","(X)"
"        Who are female","1,698,718","±9,634","62.5%","±0.1"
"        Who are married","1,910,399","±11,641","70.3%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,735,509","±87,519","82,735,509","(X)"
"        Nursery school, preschool","4,996,054","±27,650","6.0%","±0.1"
"        Kindergarten","4,214,718","±14,032","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,842,376","±23,040","39.7%","±0.1"
"        High school (grades 9-12)","17,053,876","±18,768","20.6%","±0.1"
"        College or graduate school","23,628,485","±63,835","28.6%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","209,056,129","±15,007","209,056,129","(X)"
"        Less than 9th grade","12,193,679","±57,871","5.8%","±0.1"
"        9th to 12th grade, no diploma","16,394,069","±64,212","7.8%","±0.1"
"        High school graduate (includes equivalency)","58,440,600","±169,925","28.0%","±0.1"
"        Some college, no degree","44,241,558","±44,658","21.2%","±0.1"
"        Associate's degree","16,580,076","±40,664","7.9%","±0.1"
"        Bachelor's degree","38,184,668","±128,746","18.3%","±0.1"
"        Graduate or professional degree","23,021,479","±141,984","11.0%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.3%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","29.3%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","239,305,217","±6,208","239,305,217","(X)"
"        Civilian veterans","20,700,711","±29,223","8.7%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","309,082,258","±9,583","309,082,258","(X)"
"        With a disability","37,874,571","±63,635","12.3%","±0.1"
"    Under 18 years","73,636,556","±7,355","73,636,556","(X)"
"        With a disability","2,991,373","±12,923","4.1%","±0.1"
"    18 to 64 years","193,574,369","±9,411","193,574,369","(X)"
"        With a disability","19,703,061","±48,583","10.2%","±0.1"
"    65 years and over","41,871,333","±6,252","41,871,333","(X)"
"        With a disability","15,180,137","±20,594","36.3%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","310,385,254","±12,380","310,385,254","(X)"
"        Same house","263,728,846","±254,680","85.0%","±0.1"
"        Different house in the U.S.","44,776,562","±251,479","14.4%","±0.1"
"            Same county","27,847,091","±187,619","9.0%","±0.1"
"            Different county","16,929,471","±73,852","5.5%","±0.1"
"                Same state","9,869,448","±51,564","3.2%","±0.1"
"                Different state","7,060,023","±34,775","2.3%","±0.1"
"        Abroad","1,879,846","±15,518","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","314,107,084","*****","314,107,084","(X)"
"        Native","273,050,199","±102,724","86.9%","±0.1"
"            Born in United States","268,582,421","±98,294","85.5%","±0.1"
"                State of residence","184,459,992","±63,221","58.7%","±0.1"
"                Different state","84,122,429","±87,173","26.8%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,467,778","±18,594","1.4%","±0.1"
"        Foreign born","41,056,885","±102,798","13.1%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","41,056,885","±102,798","41,056,885","(X)"
"        Naturalized U.S. citizen","18,800,048","±32,586","45.8%","±0.2"
"        Not a U.S. citizen","22,256,837","±114,754","54.2%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","45,524,663","±98,367","45,524,663","(X)"
"    Native","4,467,778","±18,594","4,467,778","(X)"
"        Entered 2010 or later","294,915","±5,745","6.6%","±0.1"
"        Entered before 2010","4,172,863","±17,191","93.4%","±0.1"
"    Foreign born","41,056,885","±102,798","41,056,885","(X)"
"        Entered 2010 or later","2,906,697","±20,994","7.1%","±0.1"
"        Entered before 2010","38,150,188","±91,009","92.9%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","41,056,445","±102,782","41,056,445","(X)"
"        Europe","4,813,466","±18,712","11.7%","±0.1"
"        Asia","11,999,010","±32,420","29.2%","±0.1"
"        Africa","1,742,620","±15,763","4.2%","±0.1"
"        Oceania","232,632","±4,258","0.6%","±0.1"
"        Latin America","21,448,989","±67,927","52.2%","±0.1"
"        Northern America","819,728","±8,088","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","294,133,373","±3,687","294,133,373","(X)"
"        English only","232,724,203","±121,279","79.1%","±0.1"
"        Language other than English","61,409,170","±119,977","20.9%","±0.1"
"            Speak English less than ""very well""","25,305,202","±68,810","8.6%","±0.1"
"        Spanish","38,098,698","±72,339","13.0%","±0.1"
"            Speak English less than ""very well""","16,346,401","±44,757","5.6%","±0.1"
"        Other Indo-European languages","10,806,493","±40,815","3.7%","±0.1"
"            Speak English less than ""very well""","3,436,072","±22,879","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,776,631","±23,415","3.3%","±0.1"
"            Speak English less than ""very well""","4,673,798","±16,658","1.6%","±0.1"
"        Other languages","2,727,348","±20,477","0.9%","±0.1"
"            Speak English less than ""very well""","848,931","±11,472","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","314,107,084","*****","314,107,084","(X)"
"        American","22,365,250","±53,443","7.1%","±0.1"
"        Arab","1,769,645","±20,573","0.6%","±0.1"
"        Czech","1,479,588","±11,823","0.5%","±0.1"
"        Danish","1,323,182","±10,809","0.4%","±0.1"
"        Dutch","4,387,814","±18,649","1.4%","±0.1"
"        English","25,181,294","±59,031","8.0%","±0.1"
"        French (except Basque)","8,431,568","±25,741","2.7%","±0.1"
"        French Canadian","2,052,979","±17,133","0.7%","±0.1"
"        German","46,874,293","±66,695","14.9%","±0.1"
"        Greek","1,285,866","±11,557","0.4%","±0.1"
"        Hungarian","1,440,762","±10,155","0.5%","±0.1"
"        Irish","33,918,058","±70,417","10.8%","±0.1"
"        Italian","17,330,315","±42,108","5.5%","±0.1"
"        Lithuanian","659,664","±6,877","0.2%","±0.1"
"        Norwegian","4,451,906","±23,641","1.4%","±0.1"
"        Polish","9,452,375","±35,837","3.0%","±0.1"
"        Portuguese","1,380,904","±13,586","0.4%","±0.1"
"        Russian","2,895,600","±15,298","0.9%","±0.1"
"        Scotch-Irish","3,102,082","±16,451","1.0%","±0.1"
"        Scottish","5,401,397","±19,634","1.7%","±0.1"
"        Slovak","735,757","±8,591","0.2%","±0.1"
"        Subsaharan African","2,987,143","±24,900","1.0%","±0.1"
"        Swedish","3,984,136","±19,899","1.3%","±0.1"
"        Swiss","936,806","±8,897","0.3%","±0.1"
"        Ukrainian","963,549","±9,939","0.3%","±0.1"
"        Welsh","1,779,664","±12,570","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,756,752","±20,472","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total Households","(X)","(X)","(X)","(X)"
"        With a computer","(X)","(X)","(X)","(X)"
"        With a broadband Internet subscription","(X)","(X)","(X)","(X)"
