"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Number of grandparents responsible for own grandchildren under 18 years","2,685,185","±11,858","2,685,185","(X)"
"        Who are female","1,677,350","±8,475","62.5%","±0.2"
"        Who are married","1,885,710","±10,486","70.2%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,528,567","±84,711","82,528,567","(X)"
"        Nursery school, preschool","4,988,186","±26,460","6.0%","±0.1"
"        Kindergarten","4,201,597","±14,044","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,845,163","±26,282","39.8%","±0.1"
"        High school (grades 9-12)","17,016,693","±20,209","20.6%","±0.1"
"        College or graduate school","23,476,928","±63,362","28.4%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","211,462,522","±16,135","211,462,522","(X)"
"        Less than 9th grade","12,093,869","±57,253","5.7%","±0.1"
"        9th to 12th grade, no diploma","16,135,225","±65,476","7.6%","±0.1"
"        High school graduate (includes equivalency)","58,722,528","±173,641","27.8%","±0.1"
"        Some college, no degree","44,529,161","±49,403","21.1%","±0.1"
"        Associate's degree","17,029,467","±40,247","8.1%","±0.1"
"        Bachelor's degree","39,166,047","±136,480","18.5%","±0.1"
"        Graduate or professional degree","23,786,225","±147,082","11.2%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.7%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","29.8%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","241,816,698","±6,429","241,816,698","(X)"
"        Civilian veterans","20,108,332","±29,699","8.3%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","311,516,332","±9,197","311,516,332","(X)"
"        With a disability","38,601,898","±64,653","12.4%","±0.1"
"    Under 18 years","73,546,970","±7,472","73,546,970","(X)"
"        With a disability","3,013,318","±10,605","4.1%","±0.1"
"    18 to 64 years","194,655,748","±9,389","194,655,748","(X)"
"        With a disability","19,985,588","±48,215","10.3%","±0.1"
"    65 years and over","43,313,614","±5,767","43,313,614","(X)"
"        With a disability","15,602,992","±25,643","36.0%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","312,784,059","±14,581","312,784,059","(X)"
"        Same house","266,202,835","±248,507","85.1%","±0.1"
"        Different house in the U.S.","44,636,015","±244,246","14.3%","±0.1"
"            Same county","27,459,340","±182,837","8.8%","±0.1"
"            Different county","17,176,675","±71,122","5.5%","±0.1"
"                Same state","9,987,010","±49,891","3.2%","±0.1"
"                Different state","7,189,665","±34,916","2.3%","±0.1"
"        Abroad","1,945,209","±16,221","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","316,515,021","*****","316,515,021","(X)"
"        Native","274,797,601","±104,206","86.8%","±0.1"
"            Born in United States","270,201,644","±99,381","85.4%","±0.1"
"                State of residence","185,737,409","±68,407","58.7%","±0.1"
"                Different state","84,464,235","±76,535","26.7%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,595,957","±18,154","1.5%","±0.1"
"        Foreign born","41,717,420","±104,288","13.2%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","41,717,420","±104,288","41,717,420","(X)"
"        Naturalized U.S. citizen","19,448,227","±38,490","46.6%","±0.2"
"        Not a U.S. citizen","22,269,193","±113,460","53.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","46,313,377","±99,461","46,313,377","(X)"
"    Native","4,595,957","±18,154","4,595,957","(X)"
"        Entered 2010 or later","428,327","±6,667","9.3%","±0.1"
"        Entered before 2010","4,167,630","±18,392","90.7%","±0.1"
"    Foreign born","41,717,420","±104,288","41,717,420","(X)"
"        Entered 2010 or later","4,115,249","±26,374","9.9%","±0.1"
"        Entered before 2010","37,602,171","±89,767","90.1%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","41,716,929","±104,297","41,716,929","(X)"
"        Europe","4,805,230","±18,854","11.5%","±0.1"
"        Asia","12,399,473","±32,430","29.7%","±0.1"
"        Africa","1,832,736","±15,734","4.4%","±0.1"
"        Oceania","237,552","±4,276","0.6%","±0.1"
"        Latin America","21,615,876","±72,503","51.8%","±0.1"
"        Northern America","826,062","±7,289","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","296,603,003","±3,785","296,603,003","(X)"
"        English only","234,171,556","±136,805","79.0%","±0.1"
"        Language other than English","62,431,447","±134,707","21.0%","±0.1"
"            Speak English less than ""very well""","25,410,756","±68,629","8.6%","±0.1"
"        Spanish","38,694,150","±87,492","13.0%","±0.1"
"            Speak English less than ""very well""","16,305,893","±48,167","5.5%","±0.1"
"        Other Indo-European languages","10,884,070","±39,330","3.7%","±0.1"
"            Speak English less than ""very well""","3,442,377","±20,324","1.2%","±0.1"
"        Asian and Pacific Islander languages","10,027,065","±24,663","3.4%","±0.1"
"            Speak English less than ""very well""","4,781,210","±19,701","1.6%","±0.1"
"        Other languages","2,826,162","±26,410","1.0%","±0.1"
"            Speak English less than ""very well""","881,276","±11,072","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","316,515,021","*****","316,515,021","(X)"
"        American","22,746,991","±50,437","7.2%","±0.1"
"        Arab","1,832,106","±23,840","0.6%","±0.1"
"        Czech","1,452,344","±10,370","0.5%","±0.1"
"        Danish","1,307,381","±9,289","0.4%","±0.1"
"        Dutch","4,289,116","±17,121","1.4%","±0.1"
"        English","24,787,018","±52,368","7.8%","±0.1"
"        French (except Basque)","8,272,538","±24,827","2.6%","±0.1"
"        French Canadian","2,059,482","±16,462","0.7%","±0.1"
"        German","46,403,053","±49,941","14.7%","±0.1"
"        Greek","1,284,473","±12,687","0.4%","±0.1"
"        Hungarian","1,423,736","±11,867","0.4%","±0.1"
"        Irish","33,526,444","±61,741","10.6%","±0.1"
"        Italian","17,285,619","±43,497","5.5%","±0.1"
"        Lithuanian","653,137","±7,571","0.2%","±0.1"
"        Norwegian","4,445,030","±22,662","1.4%","±0.1"
"        Polish","9,385,766","±34,152","3.0%","±0.1"
"        Portuguese","1,372,141","±11,508","0.4%","±0.1"
"        Russian","2,843,400","±15,468","0.9%","±0.1"
"        Scotch-Irish","3,046,005","±14,519","1.0%","±0.1"
"        Scottish","5,409,343","±19,588","1.7%","±0.1"
"        Slovak","725,457","±7,664","0.2%","±0.1"
"        Subsaharan African","3,119,177","±29,990","1.0%","±0.1"
"        Swedish","3,933,024","±18,068","1.2%","±0.1"
"        Swiss","929,291","±9,692","0.3%","±0.1"
"        Ukrainian","973,257","±9,154","0.3%","±0.1"
"        Welsh","1,778,216","±11,601","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,824,722","±22,182","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","(X)","(X)","(X)","(X)"
"        With a computer","(X)","(X)","(X)","(X)"
"        With a broadband Internet subscription","(X)","(X)","(X)","(X)"
