"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Irish","35,522,918","±62,208","11.6%","±0.1"
"    Italian","17,551,075","±44,864","5.7%","±0.1"
"    Lithuanian","696,686","±6,960","0.2%","±0.1"
"    Norwegian","4,557,539","±22,713","1.5%","±0.1"
"    Polish","9,739,640","±33,851","3.2%","±0.1"
"    Portuguese","1,422,191","±11,576","0.5%","±0.1"
"    Russian","3,060,143","±18,805","1.0%","±0.1"
"    Scotch-Irish","5,102,732","±23,499","1.7%","±0.1"
"    Scottish","5,706,263","±23,874","1.9%","±0.1"
"    Slovak","786,108","±7,863","0.3%","±0.1"
"    Subsaharan African","2,828,270","±27,774","0.9%","±0.1"
"    Swedish","4,211,644","±20,273","1.4%","±0.1"
"    Swiss","982,909","±9,985","0.3%","±0.1"
"    Ukrainian","958,294","±10,471","0.3%","±0.1"
"    Welsh","1,888,383","±13,219","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,586,700","±19,835","0.8%","±0.1"
