"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","317,941,631","±10,348","317,941,631","(X)"
"        With a disability","40,071,666","±72,559","12.6%","±0.1"
"    Under 18 years","73,417,787","±7,955","73,417,787","(X)"
"        With a disability","3,065,179","±13,773","4.2%","±0.1"
"    18 to 64 years","196,582,813","±9,192","196,582,813","(X)"
"        With a disability","20,240,504","±51,579","10.3%","±0.1"
"    65 years and over","47,941,031","±5,881","47,941,031","(X)"
"        With a disability","16,765,983","±29,199","35.0%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","319,157,088","±16,215","319,157,088","(X)"
"        Same house","273,020,967","±194,275","85.5%","±0.1"
"        Different house in the U.S.","44,048,390","±190,680","13.8%","±0.1"
"            Same county","26,270,869","±142,742","8.2%","±0.1"
"            Different county","17,777,521","±60,865","5.6%","±0.1"
"                Same state","10,334,215","±40,019","3.2%","±0.1"
"                Different state","7,443,306","±31,684","2.3%","±0.1"
"        Abroad","2,087,731","±14,087","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","322,903,030","*****","322,903,030","(X)"
"        Native","279,363,531","±131,204","86.5%","±0.1"
"            Born in United States","274,335,209","±124,505","85.0%","±0.1"
"                State of residence","188,455,931","±71,405","58.4%","±0.1"
"                Different state","85,879,278","±110,022","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,028,322","±21,829","1.6%","±0.1"
"        Foreign born","43,539,499","±131,250","13.5%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","43,539,499","±131,250","43,539,499","(X)"
"        Naturalized U.S. citizen","21,250,009","±34,139","48.8%","±0.2"
"        Not a U.S. citizen","22,289,490","±137,142","51.2%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","48,567,821","±124,550","48,567,821","(X)"
"        Native","5,028,322","±21,829","5,028,322","(X)"
"            Entered 2010 or later","911,502","±10,892","18.1%","±0.2"
"            Entered before 2010","4,116,820","±16,894","81.9%","±0.2"
"        Foreign born","43,539,499","±131,250","43,539,499","(X)"
"            Entered 2010 or later","7,904,024","±47,211","18.2%","±0.1"
"            Entered before 2010","35,635,475","±93,623","81.8%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","43,538,827","±131,253","43,538,827","(X)"
"        Europe","4,778,170","±19,000","11.0%","±0.1"
"        Asia","13,398,520","±38,315","30.8%","±0.1"
"        Africa","2,151,409","±18,104","4.9%","±0.1"
"        Oceania","257,341","±4,392","0.6%","±0.1"
"        Latin America","22,132,993","±86,618","50.8%","±0.1"
"        Northern America","820,394","±8,678","1.9%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","303,066,180","±4,092","303,066,180","(X)"
"        English only","237,956,495","±196,881","78.5%","±0.1"
"        Language other than English","65,109,685","±194,539","21.5%","±0.1"
"            Speak English less than ""very well""","25,647,781","±101,522","8.5%","±0.1"
"        Spanish","40,256,297","±121,016","13.3%","±0.1"
"            Speak English less than ""very well""","16,309,621","±69,268","5.4%","±0.1"
"        Other Indo-European languages","11,014,379","±52,114","3.6%","±0.1"
"            Speak English less than ""very well""","3,425,770","±25,162","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,570,681","±25,948","3.5%","±0.1"
"            Speak English less than ""very well""","4,908,308","±19,051","1.6%","±0.1"
"        Other languages","3,268,328","±31,053","1.1%","±0.1"
"            Speak English less than ""very well""","1,004,082","±13,308","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","322,903,030","*****","322,903,030","(X)"
"        American","20,678,613","±60,777","6.4%","±0.1"
"        Arab","1,979,363","±26,183","0.6%","±0.1"
"        Czech","1,382,835","±9,921","0.4%","±0.1"
"        Danish","1,278,457","±9,713","0.4%","±0.1"
"        Dutch","4,009,279","±19,942","1.2%","±0.1"
"        English","23,638,645","±68,367","7.3%","±0.1"
"        French (except Basque)","7,815,721","±29,213","2.4%","±0.1"
"        French Canadian","2,095,503","±16,699","0.6%","±0.1"
"        German","44,164,758","±57,549","13.7%","±0.1"
"        Greek","1,273,100","±11,304","0.4%","±0.1"
"        Hungarian","1,396,014","±11,206","0.4%","±0.1"
"        Irish","32,054,485","±64,336","9.9%","±0.1"
"        Italian","16,885,993","±44,111","5.2%","±0.1"
"        Lithuanian","632,321","±6,392","0.2%","±0.1"
"        Norwegian","4,403,008","±24,875","1.4%","±0.1"
"        Polish","9,152,819","±34,737","2.8%","±0.1"
"        Portuguese","1,358,190","±10,529","0.4%","±0.1"
"        Russian","2,671,995","±15,109","0.8%","±0.1"
"        Scotch-Irish","3,021,077","±16,851","0.9%","±0.1"
"        Scottish","5,440,934","±24,366","1.7%","±0.1"
"        Slovak","688,103","±7,173","0.2%","±0.1"
"        Subsaharan African","3,589,855","±31,185","1.1%","±0.1"
"        Swedish","3,788,741","±16,163","1.2%","±0.1"
"        Swiss","927,539","±9,268","0.3%","±0.1"
"        Ukrainian","1,002,367","±12,167","0.3%","±0.1"
"        Welsh","1,809,314","±12,638","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,946,905","±21,246","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","119,730,128","±232,429","119,730,128","(X)"
"        With a computer","106,282,620","±267,189","88.8%","±0.1"
"        With a broadband Internet subscription","96,263,531","±326,363","80.4%","±0.1"
