"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Per 1,000 women 35 to 50 years old","29","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,245,403","±67,308","7,245,403","(X)"
"        Grandparents responsible for grandchildren","2,416,814","±32,070","33.4%","±0.3"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","441,812","±13,128","6.1%","±0.2"
"            1 or 2 years","514,734","±15,098","7.1%","±0.2"
"            3 or 4 years","405,271","±14,400","5.6%","±0.2"
"            5 or more years","1,054,997","±25,516","14.6%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,416,814","±32,070","2,416,814","(X)"
"        Who are female","1,537,320","±20,721","63.6%","±0.4"
"        Who are married","1,638,536","±27,747","67.8%","±0.6"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,273,337","±80,092","81,273,337","(X)"
"        Nursery school, preschool","4,889,724","±37,703","6.0%","±0.1"
"        Kindergarten","4,001,570","±37,678","4.9%","±0.1"
"        Elementary school (grades 1-8)","32,937,679","±61,763","40.5%","±0.1"
"        High school (grades 9-12)","17,150,113","±49,244","21.1%","±0.1"
"        College or graduate school","22,294,251","±60,839","27.4%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","221,250,083","±75,372","221,250,083","(X)"
"        Less than 9th grade","11,267,058","±78,313","5.1%","±0.1"
"        9th to 12th grade, no diploma","15,315,153","±69,792","6.9%","±0.1"
"        High school graduate (includes equivalency)","60,031,545","±156,340","27.1%","±0.1"
"        Some college, no degree","45,109,653","±94,628","20.4%","±0.1"
"        Associate's degree","18,760,759","±81,189","8.5%","±0.1"
"        Bachelor's degree","43,585,028","±146,108","19.7%","±0.1"
"        Graduate or professional degree","27,180,887","±118,417","12.3%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","88.0%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","32.0%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","251,047,650","±33,764","251,047,650","(X)"
"        Civilian veterans","18,204,605","±71,514","7.3%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","320,775,014","±15,011","320,775,014","(X)"
"        With a disability","40,678,654","±109,293","12.7%","±0.1"
"    Under 18 years","73,509,396","±36,286","73,509,396","(X)"
"        With a disability","3,093,858","±31,182","4.2%","±0.1"
"    18 to 64 years","197,765,139","±27,427","197,765,139","(X)"
"        With a disability","20,444,249","±86,800","10.3%","±0.1"
"    65 years and over","49,500,479","±23,857","49,500,479","(X)"
"        With a disability","17,140,547","±55,555","34.6%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","321,994,428","±33,543","321,994,428","(X)"
"        Same house","275,921,008","±183,767","85.7%","±0.1"
"        Different house in the U.S.","43,940,092","±173,967","13.6%","±0.1"
"            Same county","25,960,510","±152,199","8.1%","±0.1"
"            Different county","17,979,582","±109,765","5.6%","±0.1"
"                Same state","10,508,089","±74,846","3.3%","±0.1"
"                Different state","7,471,493","±70,316","2.3%","±0.1"
"        Abroad","2,133,328","±38,070","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","325,719,178","*****","325,719,178","(X)"
"        Native","281,193,323","±135,763","86.3%","±0.1"
"            Born in United States","276,026,590","±132,746","84.7%","±0.1"
"                State of residence","189,679,604","±173,922","58.2%","±0.1"
"                Different state","86,346,986","±166,515","26.5%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,166,733","±43,872","1.6%","±0.1"
"        Foreign born","44,525,855","±135,763","13.7%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","44,525,855","±135,763","44,525,855","(X)"
"        Naturalized U.S. citizen","21,948,732","±75,947","49.3%","±0.2"
"        Not a U.S. citizen","22,577,123","±141,327","50.7%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","49,692,588","±132,746","49,692,588","(X)"
"    Native","5,166,733","±43,872","5,166,733","(X)"
"        Entered 2010 or later","1,112,796","±24,283","21.5%","±0.4"
"        Entered before 2010","4,053,937","±35,035","78.5%","±0.4"
"    Foreign born","44,525,855","±135,763","44,525,855","(X)"
"        Entered 2010 or later","9,487,329","±97,168","21.3%","±0.2"
"        Entered before 2010","35,038,526","±95,261","78.7%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","44,525,458","±135,900","44,525,458","(X)"
"        Europe","4,818,662","±45,341","10.8%","±0.1"
"        Asia","13,907,844","±55,985","31.2%","±0.1"
"        Africa","2,293,028","±41,979","5.1%","±0.1"
"        Oceania","263,965","±11,270","0.6%","±0.1"
"        Latin America","22,425,056","±95,368","50.4%","±0.1"
"        Northern America","816,903","±16,841","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","305,924,019","±20,249","305,924,019","(X)"
"        English only","239,331,713","±177,245","78.2%","±0.1"
"        Language other than English","66,592,306","±167,631","21.8%","±0.1"
"            Speak English less than ""very well""","25,943,695","±111,415","8.5%","±0.1"
"        Spanish","41,017,620","±115,992","13.4%","±0.1"
"            Speak English less than ""very well""","16,434,926","±92,583","5.4%","±0.1"
"        Other Indo-European languages","11,321,488","±73,521","3.7%","±0.1"
"            Speak English less than ""very well""","3,472,765","±41,855","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,839,407","±57,656","3.5%","±0.1"
"            Speak English less than ""very well""","4,976,978","±47,203","1.6%","±0.1"
"        Other languages","3,413,791","±57,076","1.1%","±0.1"
"            Speak English less than ""very well""","1,059,026","±27,531","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","325,719,178","*****","325,719,178","(X)"
"        American","20,024,830","±114,083","6.1%","±0.1"
"        Arab","2,005,223","±48,033","0.6%","±0.1"
"        Czech","1,379,037","±22,004","0.4%","±0.1"
"        Danish","1,284,171","±25,886","0.4%","±0.1"
"        Dutch","3,906,193","±44,456","1.2%","±0.1"
"        English","23,074,947","±96,420","7.1%","±0.1"
"        French (except Basque)","7,673,619","±59,457","2.4%","±0.1"
"        French Canadian","2,110,014","±32,563","0.6%","±0.1"
"        German","43,093,766","±133,481","13.2%","±0.1"
"        Greek","1,246,095","±24,945","0.4%","±0.1"
"        Hungarian","1,373,503","±24,527","0.4%","±0.1"
"        Irish","31,479,232","±126,360","9.7%","±0.1"
"        Italian","16,650,674","±100,388","5.1%","±0.1"
"        Lithuanian","630,649","±14,611","0.2%","±0.1"
"        Norwegian","4,295,981","±47,318","1.3%","±0.1"
"        Polish","9,012,085","±64,795","2.8%","±0.1"
"        Portuguese","1,371,701","±29,591","0.4%","±0.1"
"        Russian","2,608,412","±34,219","0.8%","±0.1"
"        Scotch-Irish","3,007,722","±33,264","0.9%","±0.1"
"        Scottish","5,399,371","±43,591","1.7%","±0.1"
"        Slovak","670,681","±16,833","0.2%","±0.1"
"        Subsaharan African","3,893,865","±63,209","1.2%","±0.1"
"        Swedish","3,683,020","±41,112","1.1%","±0.1"
"        Swiss","916,404","±19,697","0.3%","±0.1"
"        Ukrainian","1,006,636","±20,569","0.3%","±0.1"
"        Welsh","1,801,259","±27,693","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,022,676","±53,201","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","120,062,818","±161,148","120,062,818","(X)"
"        With a computer","108,981,265","±193,258","90.8%","±0.1"
"        With a broadband Internet subscription","100,285,519","±231,797","83.5%","±0.1"
