"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Per 1,000 women 15 to 19 years old","16","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","89","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,292,016","±57,033","7,292,016","(X)"
"        Grandparents responsible for grandchildren","2,572,146","±29,243","35.3%","±0.3"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","521,089","±11,617","7.1%","±0.2"
"            1 or 2 years","561,535","±15,711","7.7%","±0.2"
"            3 or 4 years","418,637","±12,495","5.7%","±0.2"
"            5 or more years","1,070,885","±18,037","14.7%","±0.2"
"    Number of grandparents responsible for own grandchildren under 18 years","2,572,146","±29,243","2,572,146","(X)"
"        Who are female","1,617,283","±19,533","62.9%","±0.3"
"        Who are married","1,782,043","±25,998","69.3%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,618,288","±87,040","81,618,288","(X)"
"        Nursery school, preschool","4,886,460","±37,366","6.0%","±0.1"
"        Kindergarten","4,118,825","±33,089","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,869,578","±54,635","40.3%","±0.1"
"        High school (grades 9-12)","17,086,446","±37,628","20.9%","±0.1"
"        College or graduate school","22,656,979","±75,142","27.8%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","216,447,163","±69,294","216,447,163","(X)"
"        Less than 9th grade","11,988,039","±69,070","5.5%","±0.1"
"        9th to 12th grade, no diploma","15,838,087","±73,009","7.3%","±0.1"
"        High school graduate (includes equivalency)","59,662,981","±130,241","27.6%","±0.1"
"        Some college, no degree","44,909,753","±88,024","20.7%","±0.1"
"        Associate's degree","17,806,750","±69,860","8.2%","±0.1"
"        Bachelor's degree","41,152,388","±111,280","19.0%","±0.1"
"        Graduate or professional degree","25,089,165","±109,308","11.6%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","87.1%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","30.6%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","246,780,172","±33,719","246,780,172","(X)"
"        Civilian veterans","18,830,450","±68,051","7.6%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","316,450,569","±15,477","316,450,569","(X)"
"        With a disability","39,906,328","±98,669","12.6%","±0.1"
"    Under 18 years","73,491,931","±34,195","73,491,931","(X)"
"        With a disability","3,033,788","±32,418","4.1%","±0.1"
"    18 to 64 years","196,521,616","±29,493","196,521,616","(X)"
"        With a disability","20,411,546","±69,415","10.4%","±0.1"
"    65 years and over","46,437,022","±22,258","46,437,022","(X)"
"        With a disability","16,460,994","±57,954","35.4%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","317,635,720","±28,922","317,635,720","(X)"
"        Same house","270,873,397","±189,370","85.3%","±0.1"
"        Different house in the U.S.","44,676,625","±189,791","14.1%","±0.1"
"            Same county","26,861,062","±153,442","8.5%","±0.1"
"            Different county","17,815,563","±94,946","5.6%","±0.1"
"                Same state","10,285,434","±72,460","3.2%","±0.1"
"                Different state","7,530,129","±67,868","2.4%","±0.1"
"        Abroad","2,085,698","±39,419","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","321,418,821","*****","321,418,821","(X)"
"        Native","278,128,449","±122,465","86.5%","±0.1"
"            Born in United States","273,239,944","±119,661","85.0%","±0.1"
"                State of residence","187,925,821","±135,066","58.5%","±0.1"
"                Different state","85,314,123","±135,980","26.5%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,888,505","±45,922","1.5%","±0.1"
"        Foreign born","43,290,372","±122,466","13.5%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","43,290,372","±122,466","43,290,372","(X)"
"        Naturalized U.S. citizen","20,697,103","±82,906","47.8%","±0.2"
"        Not a U.S. citizen","22,593,269","±114,018","52.2%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","48,178,877","±119,662","48,178,877","(X)"
"    Native","4,888,505","±45,922","4,888,505","(X)"
"        Entered 2010 or later","743,767","±20,808","15.2%","±0.4"
"        Entered before 2010","4,144,738","±37,718","84.8%","±0.4"
"    Foreign born","43,290,372","±122,466","43,290,372","(X)"
"        Entered 2010 or later","6,746,822","±67,693","15.6%","±0.1"
"        Entered before 2010","36,543,550","±99,213","84.4%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","43,289,646","±122,375","43,289,646","(X)"
"        Europe","4,789,662","±38,942","11.1%","±0.1"
"        Asia","13,249,179","±52,482","30.6%","±0.1"
"        Africa","2,062,257","±42,104","4.8%","±0.1"
"        Oceania","238,663","±9,099","0.6%","±0.1"
"        Latin America","22,111,409","±88,225","51.1%","±0.1"
"        Northern America","838,476","±17,172","1.9%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","301,625,014","±16,518","301,625,014","(X)"
"        English only","236,908,935","±150,873","78.5%","±0.1"
"        Language other than English","64,716,079","±142,910","21.5%","±0.1"
"            Speak English less than ""very well""","25,867,044","±99,406","8.6%","±0.1"
"        Spanish","40,045,795","±101,533","13.3%","±0.1"
"            Speak English less than ""very well""","16,437,140","±75,576","5.4%","±0.1"
"        Other Indo-European languages","11,137,271","±76,571","3.7%","±0.1"
"            Speak English less than ""very well""","3,510,365","±40,163","1.2%","±0.1"
"        Asian and Pacific Islander languages","10,501,131","±50,560","3.5%","±0.1"
"            Speak English less than ""very well""","4,966,055","±44,810","1.6%","±0.1"
"        Other languages","3,031,882","±48,372","1.0%","±0.1"
"            Speak English less than ""very well""","953,484","±23,044","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","321,418,821","*****","321,418,821","(X)"
"        American","21,844,951","±114,000","6.8%","±0.1"
"        Arab","1,963,478","±37,039","0.6%","±0.1"
"        Czech","1,391,020","±24,359","0.4%","±0.1"
"        Danish","1,315,302","±18,683","0.4%","±0.1"
"        Dutch","4,141,375","±40,795","1.3%","±0.1"
"        English","23,959,441","±102,645","7.5%","±0.1"
"        French (except Basque)","7,969,633","±64,605","2.5%","±0.1"
"        French Canadian","2,072,053","±31,758","0.6%","±0.1"
"        German","45,526,331","±117,284","14.2%","±0.1"
"        Greek","1,280,897","±23,836","0.4%","±0.1"
"        Hungarian","1,411,132","±25,080","0.4%","±0.1"
"        Irish","32,713,324","±118,079","10.2%","±0.1"
"        Italian","17,070,496","±81,661","5.3%","±0.1"
"        Lithuanian","630,006","±15,681","0.2%","±0.1"
"        Norwegian","4,432,738","±38,260","1.4%","±0.1"
"        Polish","9,231,299","±55,652","2.9%","±0.1"
"        Portuguese","1,373,147","±25,411","0.4%","±0.1"
"        Russian","2,723,176","±37,115","0.8%","±0.1"
"        Scotch-Irish","2,981,519","±33,093","0.9%","±0.1"
"        Scottish","5,510,902","±46,941","1.7%","±0.1"
"        Slovak","704,601","±17,306","0.2%","±0.1"
"        Subsaharan African","3,482,384","±62,454","1.1%","±0.1"
"        Swedish","3,829,029","±41,873","1.2%","±0.1"
"        Swiss","915,091","±19,380","0.3%","±0.1"
"        Ukrainian","986,698","±22,474","0.3%","±0.1"
"        Welsh","1,776,955","±23,606","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,949,716","±43,250","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total Households","118,208,250","±155,130","118,208,250","(X)"
"        With a computer","102,589,480","±183,220","86.8%","±0.1"
"        With a broadband Internet subscription","90,645,632","±187,309","76.7%","±0.1"
