"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Other languages","2,826,550","±47,633","1.0%","±0.1"
"            Speak English less than ""very well""","868,673","±23,015","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","316,128,839","*****","316,128,839","(X)"
"        American","22,217,931","±99,019","7.0%","±0.1"
"        Arab","1,822,511","±43,443","0.6%","±0.1"
"        Czech","1,441,072","±22,429","0.5%","±0.1"
"        Danish","1,311,484","±23,055","0.4%","±0.1"
"        Dutch","4,271,869","±36,335","1.4%","±0.1"
"        English","24,483,225","±92,413","7.7%","±0.1"
"        French (except Basque)","8,227,938","±54,276","2.6%","±0.1"
"        French Canadian","2,100,842","±33,658","0.7%","±0.1"
"        German","46,162,557","±117,554","14.6%","±0.1"
"        Greek","1,265,072","±25,274","0.4%","±0.1"
"        Hungarian","1,437,503","±24,913","0.5%","±0.1"
"        Irish","33,348,049","±127,517","10.5%","±0.1"
"        Italian","17,222,421","±92,950","5.4%","±0.1"
"        Lithuanian","640,269","±16,635","0.2%","±0.1"
"        Norwegian","4,484,167","±47,523","1.4%","±0.1"
"        Polish","9,383,332","±59,602","3.0%","±0.1"
"        Portuguese","1,373,756","±26,655","0.4%","±0.1"
"        Russian","2,844,709","±36,188","0.9%","±0.1"
"        Scotch-Irish","2,976,878","±34,085","0.9%","±0.1"
"        Scottish","5,310,285","±49,263","1.7%","±0.1"
"        Slovak","720,203","±14,153","0.2%","±0.1"
"        Subsaharan African","3,076,544","±64,302","1.0%","±0.1"
"        Swedish","3,912,522","±35,455","1.2%","±0.1"
"        Swiss","917,071","±19,558","0.3%","±0.1"
"        Ukrainian","968,754","±24,162","0.3%","±0.1"
"        Welsh","1,777,162","±26,322","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,820,776","±43,087","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total Households","116,291,033","±141,632","116,291,033","(X)"
"        With a computer","97,427,623","±167,783","83.8%","±0.1"
"        With a broadband Internet subscription","85,323,766","±179,921","73.4%","±0.1"
