"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Per 1,000 women 15 to 19 years old","21","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","95","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","26","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,065,539","±57,489","7,065,539","(X)"
"    Responsible for grandchildren","2,743,282","±30,337","38.8%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","579,224","±15,726","8.2%","±0.2"
"            1 or 2 years","629,585","±15,261","8.9%","±0.2"
"            3 or 4 years","456,263","±12,694","6.5%","±0.2"
"            5 or more years","1,078,210","±19,159","15.3%","±0.2"
"    Number of grandparents responsible for own grandchildren under 18 years","2,743,282","±30,337","2,743,282","(X)"
"    Who are female","1,727,097","±19,983","63.0%","±0.3"
"    Who are married","1,927,479","±27,997","70.3%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","83,085,860","±89,455","83,085,860","(X)"
"    Nursery school, preschool","5,040,851","±35,593","6.1%","±0.1"
"    Kindergarten","4,246,155","±30,368","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,875,346","±46,544","39.6%","±0.1"
"    High school (grades 9-12)","17,013,441","±41,341","20.5%","±0.1"
"    College or graduate school","23,910,067","±66,963","28.8%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","208,731,498","±63,262","208,731,498","(X)"
"    Less than 9th grade","12,072,306","±65,170","5.8%","±0.1"
"    9th to 12th grade, no diploma","16,409,962","±72,538","7.9%","±0.1"
"    High school graduate (includes equivalency)","58,495,661","±91,039","28.0%","±0.1"
"    Some college, no degree","44,399,937","±90,064","21.3%","±0.1"
"    Associate's degree","16,611,110","±66,837","8.0%","±0.1"
"    Bachelor's degree","37,969,084","±104,778","18.2%","±0.1"
"    Graduate or professional degree","22,773,438","±88,114","10.9%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.4%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","29.1%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","239,178,768","±30,500","239,178,768","(X)"
"    Civilian veterans","21,230,865","±57,501","8.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","308,896,460","±13,901","308,896,460","(X)"
"    With a disability","37,633,020","±94,880","12.2%","±0.1"
"    Under 18 years","73,577,504","±31,899","73,577,504","(X)"
"    With a disability","3,018,315","±28,712","4.1%","±0.1"
"    18 to 64 years","193,478,987","±25,377","193,478,987","(X)"
"    With a disability","19,606,506","±67,395","10.1%","±0.1"
"    65 years and over","41,839,969","±18,303","41,839,969","(X)"
"    With a disability","15,008,199","±49,325","35.9%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","310,212,755","±25,814","310,212,755","(X)"
"    Same house","263,612,596","±229,733","85.0%","±0.1"
"    Different house in the U.S.","44,766,942","±223,193","14.4%","±0.1"
"        Same county","27,913,580","±187,831","9.0%","±0.1"
"        Different county","16,853,362","±104,977","5.4%","±0.1"
"            Same state","9,783,017","±83,977","3.2%","±0.1"
"            Different state","7,070,345","±58,599","2.3%","±0.1"
"    Abroad","1,833,217","±32,633","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","313,914,040","*****","313,914,040","(X)"
"    Native","273,089,382","±111,594","87.0%","±0.1"
"        Born in United States","268,703,379","±107,321","85.6%","±0.1"
"            State of residence","184,556,088","±156,997","58.8%","±0.1"
"            Different state","84,147,291","±124,538","26.8%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,386,003","±41,520","1.4%","±0.1"
"    Foreign born","40,824,658","±111,594","13.0%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","40,824,658","±111,594","40,824,658","(X)"
"    Naturalized U.S. citizen","18,686,237","±68,651","45.8%","±0.2"
"    Not a U.S. citizen","22,138,421","±109,661","54.2%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","45,210,661","±107,321","45,210,661","(X)"
"    Native","4,386,003","±41,520","4,386,003","(X)"
"    Entered 2010 or later","294,506","±13,678","6.7%","±0.3"
"    Entered before 2010","4,091,497","±39,344","93.3%","±0.3"
"    Foreign born","40,824,658","±111,594","40,824,658","(X)"
"    Entered 2010 or later","2,851,714","±43,079","7.0%","±0.1"
"    Entered before 2010","37,972,944","±100,281","93.0%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","40,824,553","±111,624","40,824,553","(X)"
"    Europe","4,809,392","±38,353","11.8%","±0.1"
"    Asia","11,931,658","±53,141","29.2%","±0.1"
"    Africa","1,723,895","±33,353","4.2%","±0.1"
"    Oceania","239,861","±9,226","0.6%","±0.1"
"    Latin America","21,311,457","±78,036","52.2%","±0.1"
"    Northern America","808,290","±12,461","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","294,003,714","±18,345","294,003,714","(X)"
"    English only","232,126,499","±132,907","79.0%","±0.1"
"    Language other than English","61,877,215","±129,197","21.0%","±0.1"
"        Speak English less than ""very well""","25,088,697","±94,992","8.5%","±0.1"
"        Spanish","38,325,155","±95,145","13.0%","±0.1"
"            Speak English less than ""very well""","16,149,456","±74,106","5.5%","±0.1"
"        Other Indo-European languages","11,034,625","±79,281","3.8%","±0.1"
"            Speak English less than ""very well""","3,461,929","±43,058","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,752,336","±52,271","3.3%","±0.1"
"            Speak English less than ""very well""","4,618,474","±35,556","1.6%","±0.1"
"        Other languages","2,765,099","±43,668","0.9%","±0.1"
"            Speak English less than ""very well""","858,838","±22,686","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","313,914,040","*****","313,914,040","(X)"
"    American","23,567,147","±90,901","7.5%","±0.1"
"    Arab","1,798,991","±35,987","0.6%","±0.1"
"    Czech","1,507,815","±23,682","0.5%","±0.1"
"    Danish","1,296,751","±25,129","0.4%","±0.1"
"    Dutch","4,350,633","±43,932","1.4%","±0.1"
"    English","25,261,814","±102,997","8.0%","±0.1"
"    French (except Basque)","8,475,331","±55,608","2.7%","±0.1"
"    French Canadian","1,992,174","±32,854","0.6%","±0.1"
"    German","46,875,013","±113,136","14.9%","±0.1"
"    Greek","1,296,119","±27,039","0.4%","±0.1"
"    Hungarian","1,427,110","±22,143","0.5%","±0.1"
"    Irish","34,148,645","±130,918","10.9%","±0.1"
"    Italian","17,343,394","±88,194","5.5%","±0.1"
"    Lithuanian","680,912","±13,465","0.2%","±0.1"
"    Norwegian","4,398,608","±37,483","1.4%","±0.1"
"    Polish","9,500,696","±66,115","3.0%","±0.1"
"    Portuguese","1,380,877","±28,735","0.4%","±0.1"
"    Russian","2,895,912","±41,054","0.9%","±0.1"
"    Scotch-Irish","3,117,627","±32,277","1.0%","±0.1"
"    Scottish","5,379,735","±48,537","1.7%","±0.1"
"    Slovak","742,738","±17,871","0.2%","±0.1"
"    Subsaharan African","3,008,961","±51,662","1.0%","±0.1"
"    Swedish","3,980,614","±41,929","1.3%","±0.1"
"    Swiss","941,692","±18,807","0.3%","±0.1"
"    Ukrainian","968,769","±20,640","0.3%","±0.1"
"    Welsh","1,780,002","±30,844","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,758,050","±40,768","0.9%","±0.1"
