"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Per 1,000 women 20 to 34 years old","86","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","30","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,114,520","±63,934","7,114,520","(X)"
"        Grandparents responsible for grandchildren","2,401,111","±32,205","33.7%","±0.3"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","427,931","±14,908","6.0%","±0.2"
"            1 or 2 years","500,677","±15,057","7.0%","±0.2"
"            3 or 4 years","381,715","±11,942","5.4%","±0.2"
"            5 or more years","1,090,788","±23,314","15.3%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,401,111","±32,205","2,401,111","(X)"
"        Who are female","1,515,661","±20,405","63.1%","±0.4"
"        Who are married","1,644,122","±29,412","68.5%","±0.6"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","80,916,775","±98,966","80,916,775","(X)"
"        Nursery school, preschool","4,966,330","±40,813","6.1%","±0.1"
"        Kindergarten","3,978,101","±33,257","4.9%","±0.1"
"        Elementary school (grades 1-8)","32,803,138","±51,271","40.5%","±0.1"
"        High school (grades 9-12)","17,100,878","±44,704","21.1%","±0.1"
"        College or graduate school","22,068,328","±82,730","27.3%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","223,158,847","±77,521","223,158,847","(X)"
"        Less than 9th grade","11,083,738","±71,025","5.0%","±0.1"
"        9th to 12th grade, no diploma","14,960,425","±86,317","6.7%","±0.1"
"        High school graduate (includes equivalency)","59,961,893","±149,058","26.9%","±0.1"
"        Some college, no degree","45,224,654","±93,907","20.3%","±0.1"
"        Associate's degree","19,177,676","±69,337","8.6%","±0.1"
"        Bachelor's degree","44,599,186","±140,757","20.0%","±0.1"
"        Graduate or professional degree","28,151,275","±129,150","12.6%","±0.1"
"        High school graduate or higher","197,114,684","±179,028","88.3%","±0.1"
"        Bachelor's degree or higher","72,750,461","±232,413","32.6%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","252,806,449","±33,399","252,806,449","(X)"
"        Civilian veterans","17,964,242","±66,854","7.1%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","322,249,485","±15,307","322,249,485","(X)"
"        With a disability","40,637,764","±101,383","12.6%","±0.1"
"    Under 18 years","73,223,593","±34,807","73,223,593","(X)"
"        With a disability","3,095,254","±32,747","4.2%","±0.1"
"    18 to 64 years","197,888,546","±26,117","197,888,546","(X)"
"        With a disability","20,212,750","±79,828","10.2%","±0.1"
"    65 years and over","51,137,346","±22,004","51,137,346","(X)"
"        With a disability","17,329,760","±55,054","33.9%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","323,531,965","±28,863","323,531,965","(X)"
"        Same house","278,079,469","±191,887","86.0%","±0.1"
"        Different house in the U.S.","43,492,867","±185,061","13.4%","±0.1"
"            Same county","25,406,210","±142,448","7.9%","±0.1"
"            Different county","18,086,657","±112,704","5.6%","±0.1"
"                Same state","10,515,375","±79,345","3.3%","±0.1"
"                Different state","7,571,282","±77,765","2.3%","±0.1"
"        Abroad","1,959,629","±39,920","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","327,167,439","*****","327,167,439","(X)"
"        Native","282,438,718","±157,214","86.3%","±0.1"
"            Born in United States","277,120,538","±169,256","84.7%","±0.1"
"                State of residence","190,013,288","±170,039","58.1%","±0.1"
"                Different state","87,107,250","±155,668","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,318,180","±47,053","1.6%","±0.1"
"        Foreign born","44,728,721","±157,222","13.7%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","44,728,721","±157,222","44,728,721","(X)"
"        Naturalized U.S. citizen","22,629,737","±88,501","50.6%","±0.2"
"        Not a U.S. citizen","22,098,984","±146,776","49.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","50,046,901","±169,263","50,046,901","(X)"
"        Native","5,318,180","±47,053","5,318,180","(X)"
"            Entered 2010 or later","1,269,949","±26,737","23.9%","±0.4"
"            Entered before 2010","4,048,231","±38,849","76.1%","±0.4"
"        Foreign born","44,728,721","±157,222","44,728,721","(X)"
"            Entered 2010 or later","10,415,414","±97,389","23.3%","±0.2"
"            Entered before 2010","34,313,307","±120,540","76.7%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","44,728,502","±157,287","44,728,502","(X)"
"        Europe","4,747,145","±40,208","10.6%","±0.1"
"        Asia","13,957,143","±57,336","31.2%","±0.1"
"        Africa","2,403,564","±48,274","5.4%","±0.1"
"        Oceania","280,394","±10,526","0.6%","±0.1"
"        Latin America","22,517,787","±114,511","50.3%","±0.1"
"        Northern America","822,469","±16,425","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","307,521,124","±20,058","307,521,124","(X)"
"        English only","240,252,456","±197,302","78.1%","±0.1"
"        Language other than English","67,268,668","±191,607","21.9%","±0.1"
"            Speak English less than ""very well""","25,627,417","±128,686","8.3%","±0.1"
"        Spanish","41,460,427","±131,886","13.5%","±0.1"
"            Speak English less than ""very well""","16,263,936","±91,816","5.3%","±0.1"
"        Other Indo-European languages","11,285,467","±85,660","3.7%","±0.1"
"            Speak English less than ""very well""","3,406,212","±44,332","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,945,719","±56,218","3.6%","±0.1"
"            Speak English less than ""very well""","4,887,949","±43,104","1.6%","±0.1"
"        Other languages","3,577,055","±55,406","1.2%","±0.1"
"            Speak English less than ""very well""","1,069,320","±24,681","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","327,167,439","*****","327,167,439","(X)"
"        American","19,613,477","±110,027","6.0%","±0.1"
"        Arab","2,110,727","±43,587","0.6%","±0.1"
"        Czech","1,298,652","±24,916","0.4%","±0.1"
"        Danish","1,220,506","±19,786","0.4%","±0.1"
"        Dutch","3,688,602","±37,615","1.1%","±0.1"
"        English","22,807,283","±103,021","7.0%","±0.1"
"        French (except Basque)","7,275,203","±54,662","2.2%","±0.1"
"        French Canadian","2,032,630","±30,561","0.6%","±0.1"
"        German","41,222,462","±102,314","12.6%","±0.1"
"        Greek","1,284,153","±22,247","0.4%","±0.1"
"        Hungarian","1,352,444","±23,818","0.4%","±0.1"
"        Irish","30,804,780","±108,814","9.4%","±0.1"
"        Italian","16,411,732","±79,275","5.0%","±0.1"
"        Lithuanian","609,911","±16,417","0.2%","±0.1"
"        Norwegian","4,360,198","±44,664","1.3%","±0.1"
"        Polish","8,887,304","±63,562","2.7%","±0.1"
"        Portuguese","1,334,145","±27,328","0.4%","±0.1"
"        Russian","2,502,911","±29,414","0.8%","±0.1"
"        Scotch-Irish","2,933,199","±34,215","0.9%","±0.1"
"        Scottish","5,212,119","±50,818","1.6%","±0.1"
"        Slovak","654,642","±15,826","0.2%","±0.1"
"        Subsaharan African","4,015,406","±61,976","1.2%","±0.1"
"        Swedish","3,614,939","±41,800","1.1%","±0.1"
"        Swiss","900,022","±21,573","0.3%","±0.1"
"        Ukrainian","996,884","±26,308","0.3%","±0.1"
"        Welsh","1,804,684","±24,395","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,949,336","±52,320","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","121,520,180","±153,217","121,520,180","(X)"
"        With a computer","111,569,541","±189,249","91.8%","±0.1"
"        With a broadband Internet subscription","103,373,301","±226,563","85.1%","±0.1"
