"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Entered before 2010","35,613,831","±108,102","81.4%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","43,738,901","±129,852","43,738,901","(X)"
"        Europe","4,785,267","±36,512","10.9%","±0.1"
"        Asia","13,461,081","±52,769","30.8%","±0.1"
"        Africa","2,141,197","±36,769","4.9%","±0.1"
"        Oceania","265,863","±9,684","0.6%","±0.1"
"        Latin America","22,294,730","±99,070","51.0%","±0.1"
"        Northern America","790,763","±14,624","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","303,328,961","±21,564","303,328,961","(X)"
"        English only","237,810,023","±162,504","78.4%","±0.1"
"        Language other than English","65,518,938","±154,156","21.6%","±0.1"
"            Speak English less than ""very well""","26,072,683","±117,659","8.6%","±0.1"
"        Spanish","40,489,813","±106,762","13.3%","±0.1"
"            Speak English less than ""very well""","16,590,392","±87,904","5.5%","±0.1"
"        Other Indo-European languages","11,090,060","±86,378","3.7%","±0.1"
"            Speak English less than ""very well""","3,476,086","±46,153","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,604,324","±63,476","3.5%","±0.1"
"            Speak English less than ""very well""","4,971,907","±47,010","1.6%","±0.1"
"        Other languages","3,334,741","±49,897","1.1%","±0.1"
"            Speak English less than ""very well""","1,034,298","±24,910","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","323,127,515","*****","323,127,515","(X)"
"        American","20,151,829","±112,100","6.2%","±0.1"
"        Arab","2,032,892","±44,267","0.6%","±0.1"
"        Czech","1,412,051","±22,079","0.4%","±0.1"
"        Danish","1,295,169","±22,160","0.4%","±0.1"
"        Dutch","4,044,507","±37,864","1.3%","±0.1"
"        English","23,835,787","±94,377","7.4%","±0.1"
"        French (except Basque)","7,962,052","±73,287","2.5%","±0.1"
"        French Canadian","2,120,016","±32,598","0.7%","±0.1"
"        German","44,754,050","±105,499","13.9%","±0.1"
"        Greek","1,278,174","±27,658","0.4%","±0.1"
"        Hungarian","1,424,423","±25,031","0.4%","±0.1"
"        Irish","32,304,175","±112,639","10.0%","±0.1"
"        Italian","16,896,518","±96,796","5.2%","±0.1"
"        Lithuanian","635,409","±14,718","0.2%","±0.1"
"        Norwegian","4,421,962","±36,981","1.4%","±0.1"
"        Polish","9,258,128","±64,443","2.9%","±0.1"
"        Portuguese","1,375,288","±27,263","0.4%","±0.1"
"        Russian","2,754,205","±35,789","0.9%","±0.1"
"        Scotch-Irish","3,212,692","±39,072","1.0%","±0.1"
"        Scottish","5,658,914","±53,093","1.8%","±0.1"
"        Slovak","687,243","±15,043","0.2%","±0.1"
"        Subsaharan African","3,557,902","±64,600","1.1%","±0.1"
"        Swedish","3,867,110","±36,970","1.2%","±0.1"
"        Swiss","957,460","±18,714","0.3%","±0.1"
"        Ukrainian","1,028,492","±21,870","0.3%","±0.1"
"        Welsh","1,898,884","±29,965","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,019,686","±47,108","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","118,860,065","±154,606","118,860,065","(X)"
"        With a computer","106,118,106","±176,492","89.3%","±0.1"
"        With a broadband Internet subscription","96,796,746","±216,059","81.4%","±0.1"
