"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"            3 or 4 years","384,356","±15,444","5.5%","±0.2"
"            5 or more years","1,097,273","±23,661","15.6%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,335,355","±32,510","2,335,355","(X)"
"        Who are female","1,478,318","±21,166","63.3%","±0.4"
"        Who are married","1,572,556","±28,743","67.3%","±0.6"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","80,465,620","±90,327","80,465,620","(X)"
"        Nursery school, preschool","5,044,389","±39,125","6.3%","±0.1"
"        Kindergarten","4,011,764","±36,839","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,647,524","±59,977","40.6%","±0.1"
"        High school (grades 9-12)","16,932,635","±40,046","21.0%","±0.1"
"        College or graduate school","21,829,308","±77,075","27.1%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","224,898,568","±68,852","224,898,568","(X)"
"        Less than 9th grade","10,874,685","±74,193","4.8%","±0.1"
"        9th to 12th grade, no diploma","14,743,856","±83,892","6.6%","±0.1"
"        High school graduate (includes equivalency)","60,482,353","±181,247","26.9%","±0.1"
"        Some college, no degree","44,914,086","±111,140","20.0%","±0.1"
"        Associate's degree","19,381,937","±84,109","8.6%","±0.1"
"        Bachelor's degree","45,730,479","±155,188","20.3%","±0.1"
"        Graduate or professional degree","28,771,172","±144,021","12.8%","±0.1"
"        High school graduate or higher","199,280,027","±175,350","88.6%","±0.1"
"        Bachelor's degree or higher","74,501,651","±239,607","33.1%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","254,046,196","±36,741","254,046,196","(X)"
"        Civilian veterans","17,418,351","±77,987","6.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","323,120,678","±17,674","323,120,678","(X)"
"        With a disability","41,089,958","±115,466","12.7%","±0.1"
"    Under 18 years","72,835,047","±33,175","72,835,047","(X)"
"        With a disability","3,144,951","±35,699","4.3%","±0.1"
"    18 to 64 years","197,503,214","±33,702","197,503,214","(X)"
"        With a disability","20,274,025","±89,049","10.3%","±0.1"
"    65 years and over","52,782,417","±26,301","52,782,417","(X)"
"        With a disability","17,670,982","±70,902","33.5%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","324,665,523","±30,094","324,665,523","(X)"
"        Same house","280,343,146","±195,001","86.3%","±0.1"
"        Different house in the U.S.","42,412,185","±184,002","13.1%","±0.1"
"            Same county","24,512,131","±165,629","7.5%","±0.1"
"            Different county","17,900,054","±96,067","5.5%","±0.1"
"                Same state","10,501,717","±77,946","3.2%","±0.1"
"                Different state","7,398,337","±64,485","2.3%","±0.1"
"        Abroad","1,910,192","±39,481","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        Native","283,306,622","±177,477","86.3%","±0.1"
"            Born in United States","277,926,231","±170,120","84.7%","±0.1"
"                State of residence","190,379,930","±195,376","58.0%","±0.1"
"                Different state","87,546,301","±186,628","26.7%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,380,391","±54,269","1.6%","±0.1"
"        Foreign born","44,932,901","±177,477","13.7%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","44,932,901","±177,477","44,932,901","(X)"
"        Naturalized U.S. citizen","23,182,917","±99,272","51.6%","±0.2"
"        Not a U.S. citizen","21,749,984","±160,360","48.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","50,313,292","±170,120","50,313,292","(X)"
"        Native","5,380,391","±54,269","5,380,391","(X)"
"            Entered 2010 or later","1,420,681","±31,286","26.4%","±0.5"
"            Entered before 2010","3,959,710","±41,384","73.6%","±0.5"
"        Foreign born","44,932,901","±177,477","44,932,901","(X)"
"            Entered 2010 or later","11,142,149","±110,983","24.8%","±0.2"
"            Entered before 2010","33,790,752","±130,361","75.2%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","44,932,799","±177,484","44,932,799","(X)"
"        Europe","4,665,173","±45,803","10.4%","±0.1"
"        Asia","14,099,479","±56,882","31.4%","±0.1"
"        Africa","2,475,118","±47,518","5.5%","±0.1"
"        Oceania","300,188","±11,581","0.7%","±0.1"
"        Latin America","22,588,239","±121,273","50.3%","±0.2"
"        Northern America","804,602","±17,796","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","308,834,688","±22,314","308,834,688","(X)"
"        English only","241,032,343","±213,182","78.0%","±0.1"
"        Language other than English","67,802,345","±204,379","22.0%","±0.1"
"            Speak English less than ""very well""","25,464,167","±128,583","8.2%","±0.1"
"        Spanish","41,757,391","±139,962","13.5%","±0.1"
"            Speak English less than ""very well""","16,131,307","±101,238","5.2%","±0.1"
"        Other Indo-European languages","11,465,631","±82,928","3.7%","±0.1"
"            Speak English less than ""very well""","3,421,414","±45,008","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,973,317","±62,419","3.6%","±0.1"
"            Speak English less than ""very well""","4,843,095","±41,869","1.6%","±0.1"
"        Other languages","3,606,006","±66,415","1.2%","±0.1"
"            Speak English less than ""very well""","1,068,351","±29,580","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        American","20,071,406","±128,105","6.1%","±0.1"
"        Arab","2,097,642","±44,681","0.6%","±0.1"
"        Czech","1,294,789","±23,187","0.4%","±0.1"
"        Danish","1,215,809","±22,120","0.4%","±0.1"
"        Dutch","3,577,936","±43,244","1.1%","±0.1"
"        English","23,593,434","±110,689","7.2%","±0.1"
"        French (except Basque)","7,116,099","±55,050","2.2%","±0.1"
"        French Canadian","1,994,739","±30,208","0.6%","±0.1"
"        German","40,363,511","±132,557","12.3%","±0.1"
"        Greek","1,247,142","±24,233","0.4%","±0.1"
"        Hungarian","1,323,336","±24,279","0.4%","±0.1"
"        Irish","30,352,567","±113,456","9.2%","±0.1"
"        Italian","16,146,739","±84,295","4.9%","±0.1"
"        Lithuanian","632,169","±15,900","0.2%","±0.1"
"        Norwegian","4,295,923","±39,555","1.3%","±0.1"
"        Polish","8,969,530","±60,642","2.7%","±0.1"
"        Portuguese","1,371,153","±23,442","0.4%","±0.1"
"        Russian","2,432,733","±36,664","0.7%","±0.1"
"        Scotch-Irish","2,924,654","±38,160","0.9%","±0.1"
"        Scottish","5,131,171","±47,049","1.6%","±0.1"
"        Slovak","654,150","±16,316","0.2%","±0.1"
"        Subsaharan African","4,018,144","±75,434","1.2%","±0.1"
"        Swedish","3,536,320","±37,770","1.1%","±0.1"
"        Swiss","905,079","±20,096","0.3%","±0.1"
"        Ukrainian","1,009,874","±29,130","0.3%","±0.1"
"        Welsh","1,956,225","±25,038","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,067,240","±51,580","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","122,802,852","±137,327","122,802,852","(X)"
"        With a computer","114,062,649","±164,539","92.9%","±0.1"
"        With a broadband Internet subscription","106,099,330","±220,420","86.4%","±0.1"
