"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Arab","1,646,371","±36,587","0.5%","±0.1"
"    Czech","1,525,187","±25,310","0.5%","±0.1"
"    Danish","1,375,506","±24,059","0.4%","±0.1"
"    Dutch","4,645,131","±40,097","1.5%","±0.1"
"    English","25,926,451","±117,804","8.4%","±0.1"
"    French (except Basque)","8,761,496","±55,528","2.8%","±0.1"
"    French Canadian","2,042,808","±28,673","0.7%","±0.1"
"    German","47,901,779","±110,936","15.5%","±0.1"
"    Greek","1,315,775","±29,760","0.4%","±0.1"
"    Hungarian","1,501,736","±28,060","0.5%","±0.1"
"    Irish","34,669,616","±132,430","11.2%","±0.1"
"    Italian","17,235,941","±89,274","5.6%","±0.1"
"    Lithuanian","660,071","±18,202","0.2%","±0.1"
"    Norwegian","4,470,081","±44,484","1.4%","±0.1"
"    Polish","9,569,207","±81,176","3.1%","±0.1"
"    Portuguese","1,405,909","±27,954","0.5%","±0.1"
"    Russian","2,971,599","±42,579","1.0%","±0.1"
"    Scotch-Irish","3,257,161","±37,878","1.1%","±0.1"
"    Scottish","5,460,679","±50,422","1.8%","±0.1"
"    Slovak","762,030","±17,141","0.2%","±0.1"
"    Subsaharan African","2,789,129","±44,560","0.9%","±0.1"
"    Swedish","4,088,555","±36,876","1.3%","±0.1"
"    Swiss","961,380","±20,027","0.3%","±0.1"
"    Ukrainian","939,746","±23,848","0.3%","±0.1"
"    Welsh","1,793,356","±25,237","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,624,392","±41,889","0.8%","±0.1"
