"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Unmarried women (widowed, divorced, and never married)","1,467,435","±22,784","35.7%","±0.5"
"        Per 1,000 unmarried women","35","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","54","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","24","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","95","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,059,261","±69,176","7,059,261","(X)"
"    Responsible for grandchildren","2,732,099","±36,004","38.7%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","582,870","±14,578","8.3%","±0.2"
"            1 or 2 years","642,141","±18,891","9.1%","±0.3"
"            3 or 4 years","452,143","±14,638","6.4%","±0.2"
"            5 or more years","1,054,945","±23,928","14.9%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,732,099","±36,004","2,732,099","(X)"
"    Who are female","1,710,510","±23,207","62.6%","±0.3"
"    Who are married","1,928,087","±31,050","70.6%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","83,131,910","±106,853","83,131,910","(X)"
"    Nursery school, preschool","5,018,930","±42,343","6.0%","±0.1"
"    Kindergarten","4,204,314","±38,550","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,845,447","±54,841","39.5%","±0.1"
"    High school (grades 9-12)","17,198,389","±37,274","20.7%","±0.1"
"    College or graduate school","23,864,830","±94,131","28.7%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","206,471,670","±68,523","206,471,670","(X)"
"    Less than 9th grade","12,317,606","±65,012","6.0%","±0.1"
"    9th to 12th grade, no diploma","16,771,699","±86,242","8.1%","±0.1"
"    High school graduate (includes equivalency)","58,653,211","±112,045","28.4%","±0.1"
"    Some college, no degree","43,822,166","±103,828","21.2%","±0.1"
"    Associate's degree","16,016,175","±69,103","7.8%","±0.1"
"    Bachelor's degree","36,915,459","±122,935","17.9%","±0.1"
"    Graduate or professional degree","21,975,354","±95,616","10.6%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","85.9%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","28.5%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","236,665,774","±31,454","236,665,774","(X)"
"    Civilian veterans","21,458,427","±67,640","9.1%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","306,560,685","±15,604","306,560,685","(X)"
"    With a disability","37,188,115","±97,849","12.1%","±0.1"
"    Under 18 years","73,774,529","±31,544","73,774,529","(X)"
"    With a disability","2,946,628","±30,661","4.0%","±0.1"
"    18 to 64 years","192,699,903","±26,214","192,699,903","(X)"
"    With a disability","19,582,613","±71,651","10.2%","±0.1"
"    65 years and over","40,086,253","±20,931","40,086,253","(X)"
"    With a disability","14,658,874","±40,094","36.6%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","307,900,319","±29,996","307,900,319","(X)"
"    Same house","261,087,925","±263,315","84.8%","±0.1"
"    Different house in the U.S.","44,986,117","±254,993","14.6%","±0.1"
"        Same county","28,308,564","±205,447","9.2%","±0.1"
"        Different county","16,677,553","±122,898","5.4%","±0.1"
"            Same state","9,690,137","±86,885","3.1%","±0.1"
"            Different state","6,987,416","±77,858","2.3%","±0.1"
"    Abroad","1,826,277","±39,657","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","311,591,919","*****","311,591,919","(X)"
"    Native","271,214,059","±125,121","87.0%","±0.1"
"        Born in United States","266,881,921","±124,503","85.7%","±0.1"
"            State of residence","183,514,546","±166,932","58.9%","±0.1"
"            Different state","83,367,375","±141,331","26.8%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,332,138","±42,415","1.4%","±0.1"
"    Foreign born","40,377,860","±125,123","13.0%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","40,377,860","±125,123","40,377,860","(X)"
"    Naturalized U.S. citizen","18,140,192","±71,606","44.9%","±0.2"
"    Not a U.S. citizen","22,237,668","±123,354","55.1%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","44,709,998","±124,506","44,709,998","(X)"
"    Native","4,332,138","±42,415","4,332,138","(X)"
"    Entered 2000 or later","1,112,133","±32,395","25.7%","±0.6"
"    Entered before 2000","3,220,005","±33,550","74.3%","±0.6"
"    Foreign born","40,377,860","±125,123","40,377,860","(X)"
"    Entered 2000 or later","14,411,131","±95,605","35.7%","±0.2"
"    Entered before 2000","25,966,729","±84,407","64.3%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","40,377,757","±125,117","40,377,757","(X)"
"    Europe","4,889,987","±50,419","12.1%","±0.1"
"    Asia","11,562,022","±47,363","28.6%","±0.1"
"    Africa","1,664,414","±29,863","4.1%","±0.1"
"    Oceania","221,211","±9,403","0.5%","±0.1"
"    Latin America","21,245,344","±98,650","52.6%","±0.2"
"    Northern America","794,779","±17,534","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","291,524,091","±19,607","291,524,091","(X)"
"    English only","230,947,071","±142,376","79.2%","±0.1"
"    Language other than English","60,577,020","±136,884","20.8%","±0.1"
"        Speak English less than ""very well""","25,303,308","±100,450","8.7%","±0.1"
"        Spanish","37,579,787","±102,342","12.9%","±0.1"
"            Speak English less than ""very well""","16,415,236","±84,889","5.6%","±0.1"
"        Other Indo-European languages","10,847,412","±84,827","3.7%","±0.1"
"            Speak English less than ""very well""","3,469,801","±44,303","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,485,464","±48,790","3.3%","±0.1"
"            Speak English less than ""very well""","4,594,770","±41,301","1.6%","±0.1"
"        Other languages","2,664,357","±46,346","0.9%","±0.1"
"            Speak English less than ""very well""","823,501","±23,734","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","311,591,919","*****","311,591,919","(X)"
"    American","24,144,605","±133,688","7.7%","±0.1"
"    Arab","1,769,251","±45,942","0.6%","±0.1"
"    Czech","1,508,360","±25,665","0.5%","±0.1"
"    Danish","1,335,678","±23,850","0.4%","±0.1"
"    Dutch","4,440,324","±46,128","1.4%","±0.1"
"    English","25,695,922","±108,992","8.2%","±0.1"
"    French (except Basque)","8,595,793","±73,277","2.8%","±0.1"
"    French Canadian","1,971,979","±30,889","0.6%","±0.1"
"    German","47,383,539","±140,174","15.2%","±0.1"
"    Greek","1,280,777","±30,945","0.4%","±0.1"
"    Hungarian","1,415,187","±26,244","0.5%","±0.1"
"    Irish","34,520,547","±141,383","11.1%","±0.1"
"    Italian","17,445,986","±96,228","5.6%","±0.1"
"    Lithuanian","654,004","±19,205","0.2%","±0.1"
"    Norwegian","4,398,767","±45,429","1.4%","±0.1"
"    Polish","9,447,905","±82,666","3.0%","±0.1"
"    Portuguese","1,379,381","±30,522","0.4%","±0.1"
"    Russian","2,994,598","±46,519","1.0%","±0.1"
"    Scotch-Irish","3,143,906","±38,962","1.0%","±0.1"
"    Scottish","5,412,820","±51,825","1.7%","±0.1"
"    Slovak","730,373","±16,850","0.2%","±0.1"
"    Subsaharan African","2,928,281","±53,454","0.9%","±0.1"
"    Swedish","4,001,651","±42,659","1.3%","±0.1"
"    Swiss","916,314","±21,414","0.3%","±0.1"
"    Ukrainian","958,470","±24,612","0.3%","±0.1"
"    Welsh","1,772,511","±28,071","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,715,539","±47,725","0.9%","±0.1"
