"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        With a disability","40,335,099","±78,864","12.6%","±0.1"
"    Under 18 years","73,294,450","±8,252","73,294,450","(X)"
"        With a disability","3,084,450","±12,380","4.2%","±0.1"
"    18 to 64 years","196,923,549","±9,720","196,923,549","(X)"
"        With a disability","20,187,604","±58,782","10.3%","±0.1"
"    65 years and over","49,488,873","±6,288","49,488,873","(X)"
"        With a disability","17,063,045","±32,595","34.5%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","320,984,519","±12,103","320,984,519","(X)"
"        Same house","275,328,008","±182,093","85.8%","±0.1"
"        Different house in the U.S.","43,592,523","±177,497","13.6%","±0.1"
"            Same county","25,736,976","±133,956","8.0%","±0.1"
"            Different county","17,855,547","±64,203","5.6%","±0.1"
"                Same state","10,380,509","±44,853","3.2%","±0.1"
"                Different state","7,475,038","±38,666","2.3%","±0.1"
"        Abroad","2,063,988","±17,801","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","324,697,795","*****","324,697,795","(X)"
"        Native","280,685,925","±142,237","86.4%","±0.1"
"            Born in United States","275,537,270","±133,395","84.9%","±0.1"
"                State of residence","189,033,094","±72,648","58.2%","±0.1"
"                Different state","86,504,176","±118,232","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,148,655","±24,644","1.6%","±0.1"
"        Foreign born","44,011,870","±142,271","13.6%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","44,011,870","±142,271","44,011,870","(X)"
"        Naturalized U.S. citizen","21,847,890","±35,680","49.6%","±0.2"
"        Not a U.S. citizen","22,163,980","±148,620","50.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","49,160,525","±133,428","49,160,525","(X)"
"        Native","5,148,655","±24,644","5,148,655","(X)"
"            Entered 2010 or later","1,082,780","±12,290","21.0%","±0.2"
"            Entered before 2010","4,065,875","±19,432","79.0%","±0.2"
"        Foreign born","44,011,870","±142,271","44,011,870","(X)"
"            Entered 2010 or later","9,068,929","±56,348","20.6%","±0.1"
"            Entered before 2010","34,942,941","±96,710","79.4%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","44,011,407","±142,281","44,011,407","(X)"
"        Europe","4,763,845","±21,112","10.8%","±0.1"
"        Asia","13,641,680","±42,444","31.0%","±0.1"
"        Africa","2,256,673","±20,042","5.1%","±0.1"
"        Oceania","271,223","±4,039","0.6%","±0.1"
"        Latin America","22,261,633","±95,955","50.6%","±0.1"
"        Northern America","816,353","±7,832","1.9%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","304,930,125","±3,961","304,930,125","(X)"
"        English only","238,982,352","±212,806","78.4%","±0.1"
"        Language other than English","65,947,773","±210,676","21.6%","±0.1"
"            Speak English less than ""very well""","25,615,365","±112,603","8.4%","±0.1"
"        Spanish","40,709,597","±128,950","13.4%","±0.1"
"            Speak English less than ""very well""","16,258,571","±77,923","5.3%","±0.1"
"        Other Indo-European languages","11,136,849","±51,674","3.7%","±0.1"
"            Speak English less than ""very well""","3,418,899","±26,686","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,727,303","±26,717","3.5%","±0.1"
"            Speak English less than ""very well""","4,910,799","±20,174","1.6%","±0.1"
"        Other languages","3,374,024","±35,341","1.1%","±0.1"
"            Speak English less than ""very well""","1,027,096","±13,893","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","324,697,795","*****","324,697,795","(X)"
"        American","20,266,321","±62,729","6.2%","±0.1"
"        Arab","2,009,626","±28,918","0.6%","±0.1"
"        Czech","1,358,610","±9,400","0.4%","±0.1"
"        Danish","1,265,727","±10,337","0.4%","±0.1"
"        Dutch","3,872,651","±18,708","1.2%","±0.1"
"        English","23,493,906","±68,617","7.2%","±0.1"
"        French (except Basque)","7,606,589","±27,564","2.3%","±0.1"
"        French Canadian","2,074,567","±16,488","0.6%","±0.1"
"        German","43,038,145","±56,361","13.3%","±0.1"
"        Greek","1,265,177","±10,574","0.4%","±0.1"
"        Hungarian","1,380,914","±11,269","0.4%","±0.1"
"        Irish","31,517,030","±60,099","9.7%","±0.1"
"        Italian","16,687,024","±47,251","5.1%","±0.1"
"        Lithuanian","628,929","±6,095","0.2%","±0.1"
"        Norwegian","4,373,660","±25,776","1.3%","±0.1"
"        Polish","9,095,241","±33,666","2.8%","±0.1"
"        Portuguese","1,368,091","±12,278","0.4%","±0.1"
"        Russian","2,608,040","±16,279","0.8%","±0.1"
"        Scotch-Irish","3,011,165","±16,746","0.9%","±0.1"
"        Scottish","5,398,961","±25,162","1.7%","±0.1"
"        Slovak","675,728","±8,369","0.2%","±0.1"
"        Subsaharan African","3,748,931","±32,757","1.2%","±0.1"
"        Swedish","3,718,915","±17,697","1.1%","±0.1"
"        Swiss","921,436","±9,804","0.3%","±0.1"
"        Ukrainian","1,009,119","±10,817","0.3%","±0.1"
"        Welsh","1,851,107","±13,411","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,985,555","±24,006","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","120,756,048","±236,892","120,756,048","(X)"
"        With a computer","109,060,990","±267,452","90.3%","±0.1"
"        With a broadband Internet subscription","99,824,789","±336,865","82.7%","±0.1"
