"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Some college, no degree","41,175,904","±57,855","20.6%","±0.1"
"    Associate's degree","15,021,920","±34,737","7.5%","±0.1"
"    Bachelor's degree","35,148,428","±127,668","17.6%","±0.1"
"    Graduate or professional degree","20,578,571","±125,036","10.3%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","85.0%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","27.9%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","228,808,831","±8,528","228,808,831","(X)"
"    Civilian veterans","22,652,496","±32,162","9.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","300,061,429","±13,120","300,061,429","(X)"
"    Same house","252,727,620","±314,814","84.2%","±0.1"
"    Different house in the U.S.","45,490,713","±304,274","15.2%","±0.1"
"        Same county","28,240,219","±223,020","9.4%","±0.1"
"        Different county","17,250,494","±89,018","5.7%","±0.1"
"            Same state","9,966,140","±60,840","3.3%","±0.1"
"            Different state","7,284,354","±36,380","2.4%","±0.1"
"    Abroad","1,843,096","±15,367","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","303,965,272","*****","303,965,272","(X)"
"    Native","265,290,260","±104,147","87.3%","±0.1"
"        Born in United States","261,246,088","±102,507","85.9%","±0.1"
"            State of residence","178,312,102","±69,767","58.7%","±0.1"
"            Different state","82,933,986","±77,950","27.3%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,044,172","±15,566","1.3%","±0.1"
"    Foreign born","38,675,012","±104,183","12.7%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","38,675,012","±104,183","38,675,012","(X)"
"    Naturalized U.S. citizen","16,653,874","±33,307","43.1%","±0.2"
"    Not a U.S. citizen","22,021,138","±114,869","56.9%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","42,719,184","±102,543","42,719,184","(X)"
"    Native","4,044,172","±15,566","4,044,172","(X)"
"    Entered 2000 or later","791,005","±9,131","19.6%","±0.2"
"    Entered before 2000","3,253,167","±12,885","80.4%","±0.2"
"    Foreign born","38,675,012","±104,183","38,675,012","(X)"
"    Entered 2000 or later","11,686,589","±72,480","30.2%","±0.1"
"    Entered before 2000","26,988,423","±43,808","69.8%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","38,674,773","±104,190","38,674,773","(X)"
"    Europe","4,847,078","±20,625","12.5%","±0.1"
"    Asia","10,747,229","±35,631","27.8%","±0.1"
"    Africa","1,466,454","±12,328","3.8%","±0.1"
"    Oceania","214,809","±4,366","0.6%","±0.1"
"    Latin America","20,565,108","±61,005","53.2%","±0.1"
"    Northern America","834,095","±7,198","2.2%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","283,833,852","±4,301","283,833,852","(X)"
"    English only","226,738,479","±109,713","79.9%","±0.1"
"    Language other than English","57,095,373","±107,739","20.1%","±0.1"
"        Speak English less than ""very well""","24,704,754","±62,203","8.7%","±0.1"
"        Spanish","35,470,765","±54,404","12.5%","±0.1"
"            Speak English less than ""very well""","16,349,067","±38,650","5.8%","±0.1"
"        Other Indo-European languages","10,393,671","±39,933","3.7%","±0.1"
"            Speak English less than ""very well""","3,368,454","±24,330","1.2%","±0.1"
"        Asian and Pacific Islander languages","8,902,093","±26,398","3.1%","±0.1"
"            Speak English less than ""very well""","4,278,088","±18,161","1.5%","±0.1"
"        Other languages","2,328,844","±19,746","0.8%","±0.1"
"            Speak English less than ""very well""","709,145","±9,523","0.2%","±0.1"
"ANCESTRY","","","",""
"    Total population","303,965,272","*****","303,965,272","(X)"
"    American","19,094,109","±43,520","6.3%","±0.1"
"    Arab","1,517,664","±17,397","0.5%","±0.1"
"    Czech","1,595,844","±11,247","0.5%","±0.1"
"    Danish","1,453,897","±10,251","0.5%","±0.1"
"    Dutch","4,950,041","±20,785","1.6%","±0.1"
"    English","27,403,063","±59,887","9.0%","±0.1"
"    French (except Basque)","9,326,180","±24,686","3.1%","±0.1"
"    French Canadian","2,138,601","±17,159","0.7%","±0.1"
"    German","49,836,146","±63,818","16.4%","±0.1"
"    Greek","1,337,511","±10,600","0.4%","±0.1"
"    Hungarian","1,537,205","±13,133","0.5%","±0.1"
"    Irish","35,751,133","±62,348","11.8%","±0.1"
"    Italian","17,566,693","±44,085","5.8%","±0.1"
"    Lithuanian","708,860","±7,254","0.2%","±0.1"
"    Norwegian","4,602,337","±21,928","1.5%","±0.1"
"    Polish","9,835,459","±34,183","3.2%","±0.1"
"    Portuguese","1,426,121","±11,676","0.5%","±0.1"
"    Russian","3,072,756","±13,828","1.0%","±0.1"
"    Scotch-Irish","5,227,821","±22,938","1.7%","±0.1"
"    Scottish","5,821,321","±21,658","1.9%","±0.1"
"    Slovak","805,282","±7,784","0.3%","±0.1"
"    Subsaharan African","2,763,624","±27,251","0.9%","±0.1"
"    Swedish","4,293,208","±18,524","1.4%","±0.1"
"    Swiss","1,003,505","±8,309","0.3%","±0.1"
"    Ukrainian","956,896","±10,165","0.3%","±0.1"
"    Welsh","1,922,914","±13,295","0.6%","±0.1"
"    West Indian (excluding Hispanic origin groups)","2,516,114","±18,220","0.8%","±0.1"
