"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"            Less than 1 year","586,395","±7,300","8.3%","±0.1"
"            1 or 2 years","650,442","±6,554","9.3%","±0.1"
"            3 or 4 years","455,247","±5,207","6.5%","±0.1"
"            5 or more years","1,041,723","±7,437","14.8%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,733,807","±13,986","2,733,807","(X)"
"        Who are female","1,713,294","±9,804","62.7%","±0.1"
"        Who are married","1,926,996","±11,753","70.5%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,624,806","±92,504","82,624,806","(X)"
"        Nursery school, preschool","5,011,192","±29,402","6.1%","±0.1"
"        Kindergarten","4,208,394","±15,132","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,796,856","±20,877","39.7%","±0.1"
"        High school (grades 9-12)","17,153,559","±20,109","20.8%","±0.1"
"        College or graduate school","23,454,805","±68,098","28.4%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","206,587,852","±15,585","206,587,852","(X)"
"        Less than 9th grade","12,272,805","±58,503","5.9%","±0.1"
"        9th to 12th grade, no diploma","16,614,916","±62,767","8.0%","±0.1"
"        High school graduate (includes equivalency)","58,084,465","±160,921","28.1%","±0.1"
"        Some college, no degree","43,896,733","±46,484","21.2%","±0.1"
"        Associate's degree","16,135,795","±39,664","7.8%","±0.1"
"        Bachelor's degree","37,286,246","±131,487","18.0%","±0.1"
"        Graduate or professional degree","22,296,892","±134,692","10.8%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.0%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","28.8%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","236,576,902","±7,706","236,576,902","(X)"
"        Civilian veterans","21,263,779","±28,339","9.0%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","306,448,495","±10,032","306,448,495","(X)"
"        With a disability","37,168,880","±67,243","12.1%","±0.1"
"    Under 18 years","73,735,147","±6,439","73,735,147","(X)"
"        With a disability","2,972,823","±14,677","4.0%","±0.1"
"    18 to 64 years","192,168,613","±9,565","192,168,613","(X)"
"        With a disability","19,403,946","±50,263","10.1%","±0.1"
"    65 years and over","40,544,735","±4,593","40,544,735","(X)"
"        With a disability","14,792,111","±24,049","36.5%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","307,797,122","±12,821","307,797,122","(X)"
"        Same house","261,288,840","±275,416","84.9%","±0.1"
"        Different house in the U.S.","44,693,597","±269,880","14.5%","±0.1"
"            Same county","28,002,833","±201,115","9.1%","±0.1"
"            Different county","16,690,764","±82,156","5.4%","±0.1"
"                Same state","9,724,410","±58,778","3.2%","±0.1"
"                Different state","6,966,354","±35,347","2.3%","±0.1"
"        Abroad","1,814,685","±14,506","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","311,536,594","*****","311,536,594","(X)"
"        Native","271,194,696","±95,540","87.1%","±0.1"
"            Born in United States","266,837,150","±91,974","85.7%","±0.1"
"                State of residence","183,005,710","±69,039","58.7%","±0.1"
"                Different state","83,831,440","±79,145","26.9%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,357,546","±16,320","1.4%","±0.1"
"        Foreign born","40,341,898","±95,602","12.9%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","40,341,898","±95,602","40,341,898","(X)"
"        Naturalized U.S. citizen","18,206,895","±39,323","45.1%","±0.2"
"        Not a U.S. citizen","22,135,003","±110,476","54.9%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","44,699,444","±92,034","44,699,444","(X)"
"    Native","4,357,546","±16,320","4,357,546","(X)"
"        Entered 2010 or later","187,196","±4,769","4.3%","±0.1"
"        Entered before 2010","4,170,350","±15,405","95.7%","±0.1"
"    Foreign born","40,341,898","±95,602","40,341,898","(X)"
"        Entered 2010 or later","1,879,743","±17,613","4.7%","±0.1"
"        Entered before 2010","38,462,155","±88,085","95.3%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","40,341,744","±95,590","40,341,744","(X)"
"        Europe","4,820,496","±18,143","11.9%","±0.1"
"        Asia","11,624,956","±33,250","28.8%","±0.1"
"        Africa","1,663,907","±15,730","4.1%","±0.1"
"        Oceania","225,471","±4,725","0.6%","±0.1"
"        Latin America","21,187,930","±61,086","52.5%","±0.1"
"        Northern America","818,984","±6,969","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","291,484,482","±3,346","291,484,482","(X)"
"        English only","231,122,908","±108,816","79.3%","±0.1"
"        Language other than English","60,361,574","±107,227","20.7%","±0.1"
"            Speak English less than ""very well""","25,148,900","±63,553","8.6%","±0.1"
"        Spanish","37,458,624","±64,494","12.9%","±0.1"
"            Speak English less than ""very well""","16,344,473","±40,610","5.6%","±0.1"
"        Other Indo-European languages","10,737,607","±37,771","3.7%","±0.1"
"            Speak English less than ""very well""","3,424,558","±22,396","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,539,099","±23,440","3.3%","±0.1"
"            Speak English less than ""very well""","4,570,035","±17,435","1.6%","±0.1"
"        Other languages","2,626,244","±22,243","0.9%","±0.1"
"            Speak English less than ""very well""","809,834","±8,898","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","311,536,594","*****","311,536,594","(X)"
"        American","21,659,006","±42,199","7.0%","±0.1"
"        Arab","1,710,927","±19,118","0.5%","±0.1"
"        Czech","1,514,919","±11,653","0.5%","±0.1"
"        Danish","1,360,858","±10,385","0.4%","±0.1"
"        Dutch","4,533,617","±17,674","1.5%","±0.1"
"        English","25,809,471","±58,586","8.3%","±0.1"
"        French (except Basque)","8,678,917","±26,741","2.8%","±0.1"
"        French Canadian","2,061,608","±15,865","0.7%","±0.1"
"        German","47,715,461","±58,331","15.3%","±0.1"
"        Greek","1,300,818","±9,540","0.4%","±0.1"
"        Hungarian","1,468,069","±11,362","0.5%","±0.1"
"        Irish","34,587,835","±62,349","11.1%","±0.1"
"        Italian","17,435,042","±41,933","5.6%","±0.1"
"        Lithuanian","672,154","±6,857","0.2%","±0.1"
"        Norwegian","4,490,532","±22,017","1.4%","±0.1"
"        Polish","9,596,630","±33,349","3.1%","±0.1"
"        Portuguese","1,404,692","±10,277","0.5%","±0.1"
"        Russian","2,964,169","±18,634","1.0%","±0.1"
"        Scotch-Irish","3,212,402","±16,959","1.0%","±0.1"
"        Scottish","5,485,459","±22,465","1.8%","±0.1"
"        Slovak","754,862","±7,201","0.2%","±0.1"
"        Subsaharan African","2,931,557","±26,672","0.9%","±0.1"
"        Swedish","4,067,207","±17,890","1.3%","±0.1"
"        Swiss","951,617","±8,836","0.3%","±0.1"
"        Ukrainian","958,662","±11,355","0.3%","±0.1"
"        Welsh","1,821,359","±12,113","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,698,474","±19,985","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total Households","(X)","(X)","(X)","(X)"
"        With a computer","(X)","(X)","(X)","(X)"
"        With a broadband Internet subscription","(X)","(X)","(X)","(X)"
